lease_id,no_rent_change,rent_change_10,rent_change_20,lease_length_2,lease_length_3,lease_length_1,age_range_under_24,age_range_24_29,age_range_30_39,age_range_40_49,age_range_50_59,age_range_60,NoFinesViolations,PositiveSurvey,LatePayments,HOA_mandatory,Renewed
BLK0027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0028,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
BLK0029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0030,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BLK0031,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
BLK0032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0033,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BLK0034,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
BLK0035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0037,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BLK0038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0040,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
BLK0041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0042,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
BLK0043,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
BLK0044,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
BLK0045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0047,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
BLK0048,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
BLK0049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BLK0051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BLK0053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0054,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
BLK0055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0056,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
BLK0057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0058,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BLK0059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0061,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
BLK0062,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
BLK0063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BLK0064,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BLK0065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BLK0068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0069,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
BLK0070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
BLK0072,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BLK0073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0074,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
BLK0075,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
BLK0076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0078,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
BLK0079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0080,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
BLK0081,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
BLK0082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
BLK0085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0086,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
BLK0087,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
BLK0088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0089,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
BLK0090,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
BLK0091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0092,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
BLK0093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
BLK0094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0095,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
BLK0096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0097,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
BLK0098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0099,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BLK0100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
BLK0101,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
BLK0102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0103,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
BLK0104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0105,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
BLK0106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0107,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
BLK0108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BLK0111,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
BLK0112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BLK0114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
BLK0115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BLK0117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0118,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0
BLK0119,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
BLK0120,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
BLK0121,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
BLK0122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0125,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
BLK0126,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
BLK0127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BLK0128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BLK0129,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
BLK0130,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1
BLK0131,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
BLK0132,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
BLK0133,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0
BLK0134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0135,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BLK0136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0137,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
BLK0138,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
BLK0139,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
BLK0140,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BLK0141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BLK0142,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
BLK0144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0145,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
BLK0146,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BLK0147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0148,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0
BLK0149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0150,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BLK0151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
BLK0152,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BLK0153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BLK0154,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
BLK0155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
BLK0156,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
BLK0157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BLK0159,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
BLK0160,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
BLK0161,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
BLK0162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BLK0163,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
BLK0164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
BLK0165,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BLK0166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BLK0168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BLK0169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0170,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
BLK0171,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
BLK0172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0173,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1
BLK0174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BLK0175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BLK0176,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
BLK0177,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
BLK0178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0180,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BLK0181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0183,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
BLK0184,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
BLK0185,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
BLK0186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0187,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0188,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1
BLK0189,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
BLK0190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BLK0193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BLK0195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BLK0196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0198,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
BLK0199,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
BLK0200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0202,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0203,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BLK0204,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
BLK0205,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
BLK0206,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
BLK0207,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
BLK0208,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
BLK0209,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
BLK0210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0211,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
BLK0212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BLK0214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0216,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0217,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
BLK0218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0221,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
BLK0222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0223,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
BLK0224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
BLK0225,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
BLK0226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BLK0228,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
BLK0229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0231,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0233,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
BLK0234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0239,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
BLK0240,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
BLK0241,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
BLK0242,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
BLK0243,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
BLK0244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BLK0245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BLK0248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0250,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
BLK0251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0252,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
BLK0253,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
BLK0254,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
BLK0255,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BLK0256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0257,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
BLK0258,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BLK0259,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0260,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1
BLK0261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0264,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0
BLK0265,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
BLK0266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BLK0268,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0270,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BLK0271,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BLK0272,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
BLK0273,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1
BLK0274,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
BLK0275,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
BLK0276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0279,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0281,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
BLK0282,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0283,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
BLK0284,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
BLK0285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0286,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
BLK0287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
BLK0288,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0291,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BLK0292,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BLK0293,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
BLK0294,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
BLK0295,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0296,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
BLK0297,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
BLK0298,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
BLK0299,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
BLK0300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0301,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BLK0302,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
BLK0303,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
BLK0304,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
BLK0305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BLK0307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0308,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0309,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
BLK0310,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
BLK0311,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
BLK0312,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
BLK0313,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BLK0314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0315,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
BLK0316,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1
BLK0317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0319,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0
BLK0320,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
BLK0321,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
BLK0322,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0
BLK0323,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
BLK0324,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BLK0325,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0326,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
BLK0327,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
BLK0328,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
BLK0329,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BLK0330,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
BLK0331,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0332,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
BLK0333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0335,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1
BLK0336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0338,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BLK0341,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0
BLK0342,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
BLK0343,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0
